;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
108;ANN;50;5;41;4;lai;7;0,6467926113002267;3,7783471653376246;1,509008878002976;4,159027988069369;0,9263329261676287;0,5061668309740855;20,82654636923682;Not saved
109;RFR;50;5;41;4;lai;7;-0,3458508928675912;4,871193694402805;3,0210240984349297;11,656513607386774;3,211832613615471;-0,3840669192518773;74,63987645022004;Not saved
110;GPR;50;5;41;4;lai;7;0,9957980545283863;0,3789112465653721;0,13345627040001817;0,038524414803818435;0,07178325615881542;0,9954257018942857;4,389499870622536;Not saved
111;MTN;50;5;41;4;lai;7;0,578034680777489;2,894063622704568;1,7566161091431127;3,5857166999235814;1,5778574591864056;0,5742404604556675;35,48811776083288;Not saved
112;ANN;50;5;41;4;cab;8;0,9469228521201565;8,147345253431979;4,587812481221036;26,107016005420455;4,110900562347659;0,9256580576041692;7,047850763538088;Not saved
113;RFR;50;5;41;4;cab;8;0,9881319023030076;2,6520549919768115;1,909079251692832;4,224899999082275;2,148084028257209;0,9879692389090079;2,8857092552069514;Not saved
114;GPR;50;5;41;4;cab;8;0,9993615827185207;1,2417942313947634;0,5296741086453967;0,46956082124479814;0,40412007256059823;0,9986628857347362;0,839704442636108;Not saved
115;MTN;50;5;41;4;cab;8;0,8267152070931536;15,968130775892917;9,355695782002286;107,064602469063;8,169523576378069;0,6951244635643137;14,834589180680757;Not saved
116;ANN;50;5;41;4;cw;8;0,9872719914738035;0,0005172980376636147;0,00028817195883751594;1,0281594137636891e-07;0,0002470314978911168;0,9856320830286909;7,002584033194216;Not saved
117;RFR;50;5;41;4;cw;8;0,26802959523058045;0,0035777295330879835;0,00201474022305982;5,239121361682853e-06;0,0019803077824911545;0,26786391565761225;45,915059834053096;Not saved
118;GPR;50;5;41;4;cw;8;0,9990084136856903;0,00014575697397209257;7,117169653579267e-05;7,774633990712314e-09;6,75559556700964e-05;0,9989135410893923;1,433992170921854;Not saved
119;MTN;50;5;41;4;cw;8;0,11710403543509507;0,0031572593606871554;0,002474930635381348;6,434989245802783e-06;0,002564430570224938;0,1007484835789112;56,66064708504071;Not saved
120;ANN;50;5;41;4;cm;8;0,8883488856843331;0,0016525513707590766;0,0008941123335650756;1,1361141933165666e-06;0,0007973652900041097;0,7906045346554231;14,818881711488382;Not saved
121;RFR;50;5;41;4;cm;8;0,593132129579707;0,002078852215090442;0,0012559224913130972;2,2544082811822593e-06;0,001404276411676929;0,5844934656288627;23,18154233515421;Not saved
122;GPR;50;5;41;4;cm;8;0,9984848916871574;0,00016411467443611626;7,89572503502819e-05;9,62750538848522e-09;7,57431929043588e-05;0,9982255692404967;1,0938619051981082;Not saved
123;MTN;50;5;41;4;cm;8;0,4507509480577261;0,0029455274558556743;0,001666731441562562;3,5160499517604957e-06;0,001555613118259534;0,3519622233796714;25,035875570210575;Not saved
124;ANN;50;5;41;4;lai;8;0,2658219501261805;2,796238393943;1,4562058553614579;2,766147430685825;1,1539902225394356;0,2407526737238257;18,646716446693688;Not saved
125;RFR;50;5;41;4;lai;8;0,2628374550541789;1,98924688541251;1,506728086586863;2,8692455563782353;1,9351660350253912;0,21245447985039212;22,14515720209591;Not saved
126;GPR;50;5;41;4;lai;8;0,9994371118020512;0,09160786074993865;0,03448667403497274;0,002380068888603813;0,02213856488624044;0,9993467228391447;0,4309934340309832;Not saved
127;MTN;50;5;41;4;lai;8;0,48863836014435535;1,950711698691535;1,3423622951426468;1,9348110705172143;1,2118191235318085;0,468936429113064;18,0053120359848;Not saved
128;ANN;50;5;41;4;cab;9;0,9857257290092896;8,61658633557041;3,3455831780137006;21,199595499422344;2,0535230341243107;0,9839525073796245;15,272252700980468;Not saved
129;RFR;50;5;41;4;cab;9;0,9910378291808275;5,382657260364494;3,0256805650582614;11,842211781036426;2,973670031364307;0,9910357815001573;15,342304696355566;Not saved
130;GPR;50;5;41;4;cab;9;0,9999108748435744;0,6476465212270526;0,3434729592025838;0,15653427518258548;0,3128981300238314;0,9998815079926455;1,745515959054349;Not saved
131;MTN;50;5;41;4;cab;9;0,06266162717188406;48,76083215180267;35,08741650794122;1371,7351800338997;35,59194144705964;-0,03836463197155271;191,56178235009176;Not saved
132;ANN;50;5;41;4;cw;9;0,7503022104303683;0,0028828000510378662;0,0010347696634885532;2,229004212649367e-06;0,0005245912866306552;0,5194694040867607;22,718324468025937;Not saved
133;RFR;50;5;41;4;cw;9;-0,258956308838024;0,004567738506113226;0,0022344254227917165;7,11479102124652e-06;0,0018621639685027802;-0,5338126100596834;67,63333450900426;Not saved
134;GPR;50;5;41;4;cw;9;0,9066379814564527;0,001591448267904126;0,00048013641866132895;6,561546670979369e-07;0,00015910453299898368;0,8585456270551144;19,144186604368148;Not saved
