"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"186";"GPR";2350;"cw";0,0546017695646477;0,0013832581821105;"Out-of-bag";"Validation error";"GPR Validation error";17
"187";"MTN";2350;"cw";2,05490797446949;0,493452222646685;"Out-of-bag";"Validation error";"MTN Validation error";17
"188";"RFR";2350;"cw";41,0092868658998;0,427125606740779;"Out-of-bag";"Validation error";"RFR Validation error";17
"189";"ANN";2600;"cw";2,34965573734732;0,366478463317567;"Out-of-bag";"Validation error";"ANN Validation error";17
"190";"GPR";2600;"cw";0,0507367247911791;0,00357700179048245;"Out-of-bag";"Validation error";"GPR Validation error";17
"191";"MTN";2600;"cw";1,98261981263864;0,512540271699231;"Out-of-bag";"Validation error";"MTN Validation error";17
"192";"RFR";2600;"cw";40,6222420874156;0,293419266735568;"Out-of-bag";"Validation error";"RFR Validation error";17
"193";"ANN";2850;"cw";2,43434978068668;0,491676605924014;"Out-of-bag";"Validation error";"ANN Validation error";17
"194";"GPR";2850;"cw";0,0541123133952048;0,00164241596834347;"Out-of-bag";"Validation error";"GPR Validation error";17
"195";"MTN";2850;"cw";2,59235688752251;1,48701371297464;"Out-of-bag";"Validation error";"MTN Validation error";17
"196";"RFR";2850;"cw";41,5197004487657;0,317633207342134;"Out-of-bag";"Validation error";"RFR Validation error";17
"197";"ANN";3100;"cw";2,41605441358726;0,356926191941084;"Out-of-bag";"Validation error";"ANN Validation error";17
"198";"GPR";3100;"cw";0,0553955541925979;0,000806298765028093;"Out-of-bag";"Validation error";"GPR Validation error";17
"199";"MTN";3100;"cw";2,05686826997127;0,663769354050521;"Out-of-bag";"Validation error";"MTN Validation error";17
"200";"RFR";3100;"cw";44,3136708770432;0,218394908572256;"Out-of-bag";"Validation error";"RFR Validation error";17
"201";"ANN";3350;"cw";2,08585382574513;0,389746845083393;"Out-of-bag";"Validation error";"ANN Validation error";17
